--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
148.455  000.258  000.258: sourcing /usr/share/nvim/runtime/plugin/osc52.lua
148.459  000.280  000.022: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
148.682  000.197  000.197: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
148.686  000.221  000.024: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
148.858  000.146  000.146: sourcing /usr/share/nvim/runtime/plugin/shada.vim
148.863  000.168  000.022: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
148.969  000.078  000.078: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
148.973  000.104  000.027: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
149.135  000.134  000.134: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
149.139  000.156  000.022: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
149.434  000.271  000.271: sourcing /usr/share/nvim/runtime/plugin/tohtml.lua
149.439  000.295  000.024: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
149.544  000.074  000.074: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
149.563  000.116  000.042: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
149.729  000.145  000.145: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
149.732  000.164  000.019: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
151.190  000.098  000.098: require('cmp.utils.char')
151.196  000.194  000.096: require('cmp.utils.str')
151.444  000.070  000.070: require('cmp.utils.buffer')
151.454  000.164  000.095: require('cmp.utils.keymap')
151.456  000.259  000.094: require('cmp.utils.feedkeys')
151.935  000.275  000.275: require('cmp.config.mapping')
152.007  000.070  000.070: require('cmp.utils.cache')
152.319  000.231  000.231: require('cmp.config.compare')
152.321  000.311  000.080: require('cmp.config.default')
152.335  000.771  000.115: require('cmp.config')
152.345  000.888  000.117: require('cmp.utils.async')
152.495  000.064  000.064: require('cmp.utils.pattern')
152.498  000.152  000.088: require('cmp.context')
152.950  000.195  000.195: require('cmp.utils.snippet')
153.046  000.094  000.094: require('cmp.matcher')
153.054  000.451  000.162: require('cmp.entry')
153.058  000.559  000.108: require('cmp.source')
153.384  000.120  000.120: require('cmp.utils.event')
153.795  000.085  000.085: require('cmp.utils.options')
153.799  000.186  000.100: require('cmp.utils.window')
153.800  000.415  000.229: require('cmp.view.docs_view')
153.942  000.141  000.141: require('cmp.view.custom_entries_view')
154.072  000.128  000.128: require('cmp.view.wildmenu_entries_view')
154.170  000.097  000.097: require('cmp.view.native_entries_view')
154.262  000.091  000.091: require('cmp.view.ghost_text_view')
154.271  001.212  000.221: require('cmp.view')
154.452  003.709  000.445: require('cmp.core')
154.746  000.225  000.225: require('cmp.config.sources')
154.812  000.063  000.063: require('cmp.config.window')
154.857  004.362  000.364: require('cmp')
155.242  000.384  000.384: require('cmp_luasnip')
155.278  005.008  000.262: sourcing /home/christopher/.local/share/nvim/lazy/cmp_luasnip/after/plugin/cmp_luasnip.lua
155.282  005.036  000.028: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
156.110  000.085  000.085: require('cmp_nvim_lsp.source')
156.114  000.484  000.399: require('cmp_nvim_lsp')
156.124  000.575  000.091: sourcing /home/christopher/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
156.126  000.604  000.029: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
157.492  000.707  000.707: require('cmp_path')
157.516  000.914  000.207: sourcing /home/christopher/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
157.519  000.933  000.019: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
158.583  000.075  000.075: require('cmp_buffer.timer')
158.587  000.161  000.086: require('cmp_buffer.buffer')
158.589  000.359  000.198: require('cmp_buffer.source')
158.591  000.690  000.331: require('cmp_buffer')
158.611  000.876  000.185: sourcing /home/christopher/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
158.613  000.895  000.019: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
158.651  135.086  048.244: require('plugins')
159.634  000.264  000.264: require('nvim-autopairs._log')
159.735  000.099  000.099: require('nvim-autopairs.utils')
160.284  000.237  000.237: require('nvim-autopairs.conds')
160.300  000.333  000.097: require('nvim-autopairs.rule')
160.301  000.565  000.231: require('nvim-autopairs.rules.basic')
160.322  001.412  000.484: require('nvim-autopairs')
161.522  002.870  001.458: require('config.autopairs')
163.152  000.344  000.344: require('mason-core.path')
163.884  000.122  000.122: require('mason-core.functional.data')
164.018  000.123  000.123: require('mason-core.functional.function')
164.122  000.085  000.085: require('mason-core.functional.list')
164.197  000.056  000.056: require('mason-core.functional.relation')
164.251  000.051  000.051: require('mason-core.functional.logic')
164.304  000.051  000.051: require('mason-core.functional.number')
164.360  000.053  000.053: require('mason-core.functional.string')
164.416  000.052  000.052: require('mason-core.functional.table')
164.617  000.199  000.199: require('mason-core.functional.type')
164.619  001.274  000.483: require('mason-core.functional')
164.639  001.483  000.209: require('mason-core.platform')
164.716  000.077  000.077: require('mason.settings')
164.720  002.476  000.573: require('mason-core.installer.InstallLocation')
165.100  000.090  000.090: require('mason-core.log')
165.102  000.145  000.054: require('mason-core.EventEmitter')
165.330  000.227  000.227: require('mason-registry.sources')
165.333  000.612  000.241: require('mason-registry')
165.334  003.515  000.427: require('mason')
165.595  000.246  000.246: require('mason.api.command')
165.876  000.056  000.056: require('mason-lspconfig.settings')
165.878  000.280  000.224: require('mason-lspconfig')
166.106  000.223  000.223: require('mason-core.async')
166.363  000.202  000.202: require('mason-core.async.control')
166.420  000.056  000.056: require('mason-core.result')
